data,bin,calibration_N,calibration_Actuals,calibration_Pareto/GGG,calibration_BG/NBD,calibration_MBG/NBD,calibration_BG/CNBD-k,calibration_MBG/CNBD-k,validation_Actuals,validation_Pareto/GGG,validation_BG/NBD,validation_MBG/NBD,validation_BG/CNBD-k,validation_MBG/CNBD-k
cdnow,0,1411,0.598642341960119,0.605918031395842,0.696448766223318,0.601874724856721,0.597233384652005,0.601874724856721,0.236711552090716,0.13408929836995,0.225090402111333,0.185160589167867,0.225090402111333,0.185160589167867
cdnow,1,439,0.186253712346203,0.168515782774714,0.135078661666857,0.182072498688502,0.195300889807219,0.182072498688502,0.697038724373576,0.599563401670463,0.52313583401356,0.551352972936836,0.52313583401356,0.551352972936836
cdnow,2,214,0.0907933814170556,0.0842247348324141,0.0617785681189113,0.0842465502415805,0.0816564756620924,0.0842465502415805,1.39252336448598,1.18232087227414,1.04412462427504,1.04893957818609,1.04412462427504,1.04893957818609
cdnow,3,100,0.0424268137462876,0.0472695375477302,0.0343750628239197,0.0459213741912573,0.0429214870693655,0.0459213741912573,1.56,1.7065,1.52025318248793,1.49291371678843,1.52025318248793,1.49291371678843
cdnow,4,62,0.0263046245226983,0.0310762834111158,0.0211384461991342,0.0274687141595122,0.0253915875684844,0.0274687141595122,2.53225806451613,2.35927419354839,2.16382025245932,2.10428231079544,2.16382025245932,2.10428231079544
cdnow,5,131,0.0555791260076368,0.0629956300381841,0.05118049496786,0.0584161378624277,0.0574961752408343,0.0584161378624277,4.81679389312977,4.76889312977099,4.55349621655378,4.34485843046035,4.55349621655378,4.34485843046035
dietary,0,762,0.762,0.7645132,0.791169059261099,0.760692699176952,0.760696270282597,0.761024014771371,0.020997375328084,0.0509186351706037,0.0697908249747537,0.0681734586381028,0.0648036466277802,0.0527123475354976
dietary,1,145,0.145,0.1404878,0.129042923643193,0.148812574579156,0.150252287498268,0.148551842876438,0.227586206896552,0.236609195402299,0.235814151215945,0.234846622322073,0.151642158333638,0.172269313767987
dietary,2,48,0.048,0.0516592,0.0450745835998602,0.0516326260078022,0.0489585326926485,0.0498004963324491,0.3125,0.461284722222222,0.414902950976217,0.415945387603793,0.323694910470788,0.35963804698794
dietary,3,30,0.03,0.0206192,0.0186201485539424,0.0210146626432661,0.0200454606152937,0.0205788986620886,0.533333333333333,0.649166666666667,0.583997708470756,0.593154132808995,0.483990408760544,0.531350335680297
dietary,4,9,0.009,0.0108931,0.00832855747159947,0.00928873218261598,0.00930122364805445,0.00954477717119186,0.222222222222222,0.960185185185185,0.787929773946291,0.807130636648831,0.700303485284689,0.769451240813669
dietary,5,6,0.006,0.0118275,0.0077647274703061,0.00855870541020753,0.0107462252631393,0.0104999701864609,1,1.4,1.22042920574031,1.26507737878318,1.26300115226133,1.34232993911045
donations,0,10988,0.519134460927903,0.528215865066616,0.542698391316446,0.518973787730915,0.510328579760684,0.517752972642726,0.0376774663269021,0.0480906118362889,0.110970622189465,0.10814196994955,0.115926011085227,0.0704961421873511
donations,1,3910,0.184730227723708,0.190888722479448,0.194008714227266,0.203022654976594,0.223892214200735,0.205102551240317,0.195652173913043,0.163746803069054,0.286099648479769,0.288364992132885,0.198229698689055,0.213543535540398
donations,2,2683,0.126759897949542,0.104511830293868,0.101847990449584,0.10817548415,0.107111121077341,0.108722840183344,0.425642937010809,0.364540626164741,0.482532163775372,0.482278015731223,0.396559275689635,0.437579414112528
donations,3,1730,0.0817348577907966,0.0644989558726259,0.059226338154091,0.0629796578784724,0.0587721514038535,0.063313481095603,0.684393063583815,0.594508670520231,0.681894706141456,0.679902475153264,0.615495008562719,0.661434906821249
donations,4,731,0.0345365208353019,0.0394046773126713,0.0361754954114336,0.0383265773762204,0.0347477680748053,0.0385004027062368,0.74281805745554,0.764229529020911,0.872609940240574,0.868592322495766,0.791820615146371,0.830917906528435
donations,5,1124,0.0531040347727488,0.072479948974771,0.0660430704411792,0.0685218378877985,0.0651481654825805,0.0666077521317742,1.76423487544484,1.46111623029995,1.56901418918371,1.56423365377918,1.49278580169253,1.49180350544982
grocery,0,590,0.386885245901639,0.408049967213115,0.438232561716831,0.384358057734866,0.354850188983008,0.383109903599522,0.152542372881356,0.0720480225988701,0.350811553960689,0.127593275243999,0.368503826547319,0.106526717667511
grocery,1,222,0.145573770491803,0.134419213114754,0.149236249428508,0.149530193158233,0.192786030166105,0.152010506320664,0.527027027027027,0.341178678678679,0.594593725529413,0.513214551109863,0.384812679988449,0.444879754442512
grocery,2,122,0.08,0.0844531803278689,0.0890174532907943,0.0913724594924109,0.107435960666145,0.0919302438694968,0.959016393442623,0.860109289617486,1.09298687773016,1.09193788943703,0.844337080356479,0.971161527511477
grocery,3,82,0.0537704918032787,0.0565462295081967,0.0608188121052454,0.0649132435616864,0.0697647319903318,0.0646815205226556,1.52439024390244,1.57388211382114,1.66679554221506,1.78962832749242,1.47856294641376,1.72320388986405
grocery,4,100,0.0655737704918033,0.0460641967213115,0.0444959895227654,0.0495494052665004,0.0491961563245971,0.0490402230935283,2.36,2.5935,2.61014117376672,2.82623576172191,2.41583694993529,2.76183000611774
grocery,5,409,0.268196721311475,0.270467213114754,0.218198933935856,0.260276640786303,0.225966931869813,0.259227602594133,6.61124694376528,7.84653626731866,7.66744511292843,8.026732910282,7.50714221528738,8.02427396927485
m18,0,383,0.460890493381468,0.485397593261131,0.563573741751588,0.469881105122043,0.459200131639235,0.469881105122043,0.0835509138381201,0.060378590078329,0.098586217914153,0.0793398133344572,0.098586217914153,0.0793398133344572
m18,1,171,0.205776173285199,0.173546690734055,0.159233688579654,0.19144294420203,0.213700485399698,0.19144294420203,0.216374269005848,0.228411306042885,0.199766776742886,0.216386633477645,0.199766776742886,0.216386633477645
m18,2,96,0.115523465703971,0.101252466907341,0.0837091106186434,0.105524304836342,0.105684225046639,0.105524304836342,0.25,0.389756944444444,0.343697966978472,0.353347527509921,0.343697966978472,0.353347527509921
m18,3,44,0.0529482551143201,0.0640119133574007,0.051446118784062,0.065322914423052,0.0622645524117171,0.065322914423052,0.454545454545455,0.645454545454545,0.585785757231663,0.591663763971502,0.585785757231663,0.591663763971502
m18,4,38,0.0457280385078219,0.0443095066185319,0.0342907895068747,0.043294099341944,0.0402647621677155,0.043294099341944,0.631578947368421,0.845394736842105,0.754245152530127,0.752143810330657,0.754245152530127,0.752143810330657
m18,5,99,0.11913357400722,0.13148182912154,0.107746550759178,0.124534632074589,0.118885843334995,0.124534632074589,1.78787878787879,1.94116161616162,1.8289487439138,1.7759974558449,1.8289487439138,1.7759974558449
office,0,709,0.709,0.7116336,0.719273546925494,0.711474206301704,0.708170544021416,0.710102888325275,0.0479548660084626,0.0470380818053597,0.0665488102451968,0.0662959498004085,0.0744941227113684,0.0657337794587116
office,1,134,0.134,0.1164757,0.114231063456565,0.117020044638112,0.133553569136148,0.124660582991543,0.425373134328358,0.314054726368159,0.380846816443453,0.382965018920393,0.270467891346727,0.294773442643223
office,2,48,0.048,0.0570375,0.0559299647749864,0.0575430448766532,0.0546721135556166,0.0570410402169112,0.395833333333333,0.640451388888889,0.69841851388637,0.700534017789525,0.638304640682443,0.635527733653118
office,3,30,0.03,0.031865,0.0334181619798545,0.0344408863072878,0.0302549987823912,0.0325267113293618,0.933333333333333,0.944722222222222,0.981458238964829,0.983813659028145,0.940819552341463,0.906979655011412
office,4,19,0.019,0.021983,0.0217560756552429,0.0224390706610152,0.0190833198159728,0.0206334639094384,1.21052631578947,1.05219298245614,1.22178534899968,1.22527482475007,1.09121622551511,1.03493497123916
office,5,60,0.06,0.0610052,0.0553911872078573,0.0570827472152273,0.0542654546884552,0.0550353132274705,2.63333333333333,2.34861111111111,2.20200574364343,2.20569319938484,2.54769731931295,2.41078352837075
