T.cal,T.star,t,gamma,r,alpha,s,beta,N
52,52,1.6,0.4,0.25,5,0.25,5,1000
52,52,5,2.5,0.25,5,0.25,5,1000
52,52,6,4,0.25,5,0.25,5,1000
52,52,8,8,0.25,5,0.25,5,1000
52,52,17,20,0.25,5,0.25,5,1000
52,52,1.6,0.4,0.75,5,0.25,5,1000
52,52,5,2.5,0.75,5,0.25,5,1000
52,52,6,4,0.75,5,0.25,5,1000
52,52,8,8,0.75,5,0.25,5,1000
52,52,17,20,0.75,5,0.25,5,1000
52,52,1.6,0.4,0.25,15,0.25,5,1000
52,52,5,2.5,0.25,15,0.25,5,1000
52,52,6,4,0.25,15,0.25,5,1000
52,52,8,8,0.25,15,0.25,5,1000
52,52,17,20,0.25,15,0.25,5,1000
52,52,1.6,0.4,0.75,15,0.25,5,1000
52,52,5,2.5,0.75,15,0.25,5,1000
52,52,6,4,0.75,15,0.25,5,1000
52,52,8,8,0.75,15,0.25,5,1000
52,52,17,20,0.75,15,0.25,5,1000
52,52,1.6,0.4,0.25,5,0.75,5,1000
52,52,5,2.5,0.25,5,0.75,5,1000
52,52,6,4,0.25,5,0.75,5,1000
52,52,8,8,0.25,5,0.75,5,1000
52,52,17,20,0.25,5,0.75,5,1000
52,52,1.6,0.4,0.75,5,0.75,5,1000
52,52,5,2.5,0.75,5,0.75,5,1000
52,52,6,4,0.75,5,0.75,5,1000
52,52,8,8,0.75,5,0.75,5,1000
52,52,17,20,0.75,5,0.75,5,1000
52,52,1.6,0.4,0.25,15,0.75,5,1000
52,52,5,2.5,0.25,15,0.75,5,1000
52,52,6,4,0.25,15,0.75,5,1000
52,52,8,8,0.25,15,0.75,5,1000
52,52,17,20,0.25,15,0.75,5,1000
52,52,1.6,0.4,0.75,15,0.75,5,1000
52,52,5,2.5,0.75,15,0.75,5,1000
52,52,6,4,0.75,15,0.75,5,1000
52,52,8,8,0.75,15,0.75,5,1000
52,52,17,20,0.75,15,0.75,5,1000
52,52,1.6,0.4,0.25,5,0.25,15,1000
52,52,5,2.5,0.25,5,0.25,15,1000
52,52,6,4,0.25,5,0.25,15,1000
52,52,8,8,0.25,5,0.25,15,1000
52,52,17,20,0.25,5,0.25,15,1000
52,52,1.6,0.4,0.75,5,0.25,15,1000
52,52,5,2.5,0.75,5,0.25,15,1000
52,52,6,4,0.75,5,0.25,15,1000
52,52,8,8,0.75,5,0.25,15,1000
52,52,17,20,0.75,5,0.25,15,1000
52,52,1.6,0.4,0.25,15,0.25,15,1000
52,52,5,2.5,0.25,15,0.25,15,1000
52,52,6,4,0.25,15,0.25,15,1000
52,52,8,8,0.25,15,0.25,15,1000
52,52,17,20,0.25,15,0.25,15,1000
52,52,1.6,0.4,0.75,15,0.25,15,1000
52,52,5,2.5,0.75,15,0.25,15,1000
52,52,6,4,0.75,15,0.25,15,1000
52,52,8,8,0.75,15,0.25,15,1000
52,52,17,20,0.75,15,0.25,15,1000
52,52,1.6,0.4,0.25,5,0.75,15,1000
52,52,5,2.5,0.25,5,0.75,15,1000
52,52,6,4,0.25,5,0.75,15,1000
52,52,8,8,0.25,5,0.75,15,1000
52,52,17,20,0.25,5,0.75,15,1000
52,52,1.6,0.4,0.75,5,0.75,15,1000
52,52,5,2.5,0.75,5,0.75,15,1000
52,52,6,4,0.75,5,0.75,15,1000
52,52,8,8,0.75,5,0.75,15,1000
52,52,17,20,0.75,5,0.75,15,1000
52,52,1.6,0.4,0.25,15,0.75,15,1000
52,52,5,2.5,0.25,15,0.75,15,1000
52,52,6,4,0.25,15,0.75,15,1000
52,52,8,8,0.25,15,0.75,15,1000
52,52,17,20,0.25,15,0.75,15,1000
52,52,1.6,0.4,0.75,15,0.75,15,1000
52,52,5,2.5,0.75,15,0.75,15,1000
52,52,6,4,0.75,15,0.75,15,1000
52,52,8,8,0.75,15,0.75,15,1000
52,52,17,20,0.75,15,0.75,15,1000
52,52,1.6,0.4,0.25,5,0.25,5,4000
52,52,5,2.5,0.25,5,0.25,5,4000
52,52,6,4,0.25,5,0.25,5,4000
52,52,8,8,0.25,5,0.25,5,4000
52,52,17,20,0.25,5,0.25,5,4000
52,52,1.6,0.4,0.75,5,0.25,5,4000
52,52,5,2.5,0.75,5,0.25,5,4000
52,52,6,4,0.75,5,0.25,5,4000
52,52,8,8,0.75,5,0.25,5,4000
52,52,17,20,0.75,5,0.25,5,4000
52,52,1.6,0.4,0.25,15,0.25,5,4000
52,52,5,2.5,0.25,15,0.25,5,4000
52,52,6,4,0.25,15,0.25,5,4000
52,52,8,8,0.25,15,0.25,5,4000
52,52,17,20,0.25,15,0.25,5,4000
52,52,1.6,0.4,0.75,15,0.25,5,4000
52,52,5,2.5,0.75,15,0.25,5,4000
52,52,6,4,0.75,15,0.25,5,4000
52,52,8,8,0.75,15,0.25,5,4000
52,52,17,20,0.75,15,0.25,5,4000
52,52,1.6,0.4,0.25,5,0.75,5,4000
52,52,5,2.5,0.25,5,0.75,5,4000
52,52,6,4,0.25,5,0.75,5,4000
52,52,8,8,0.25,5,0.75,5,4000
52,52,17,20,0.25,5,0.75,5,4000
52,52,1.6,0.4,0.75,5,0.75,5,4000
52,52,5,2.5,0.75,5,0.75,5,4000
52,52,6,4,0.75,5,0.75,5,4000
52,52,8,8,0.75,5,0.75,5,4000
52,52,17,20,0.75,5,0.75,5,4000
52,52,1.6,0.4,0.25,15,0.75,5,4000
52,52,5,2.5,0.25,15,0.75,5,4000
52,52,6,4,0.25,15,0.75,5,4000
52,52,8,8,0.25,15,0.75,5,4000
52,52,17,20,0.25,15,0.75,5,4000
52,52,1.6,0.4,0.75,15,0.75,5,4000
52,52,5,2.5,0.75,15,0.75,5,4000
52,52,6,4,0.75,15,0.75,5,4000
52,52,8,8,0.75,15,0.75,5,4000
52,52,17,20,0.75,15,0.75,5,4000
52,52,1.6,0.4,0.25,5,0.25,15,4000
52,52,5,2.5,0.25,5,0.25,15,4000
52,52,6,4,0.25,5,0.25,15,4000
52,52,8,8,0.25,5,0.25,15,4000
52,52,17,20,0.25,5,0.25,15,4000
52,52,1.6,0.4,0.75,5,0.25,15,4000
52,52,5,2.5,0.75,5,0.25,15,4000
52,52,6,4,0.75,5,0.25,15,4000
52,52,8,8,0.75,5,0.25,15,4000
52,52,17,20,0.75,5,0.25,15,4000
52,52,1.6,0.4,0.25,15,0.25,15,4000
52,52,5,2.5,0.25,15,0.25,15,4000
52,52,6,4,0.25,15,0.25,15,4000
52,52,8,8,0.25,15,0.25,15,4000
52,52,17,20,0.25,15,0.25,15,4000
52,52,1.6,0.4,0.75,15,0.25,15,4000
52,52,5,2.5,0.75,15,0.25,15,4000
52,52,6,4,0.75,15,0.25,15,4000
52,52,8,8,0.75,15,0.25,15,4000
52,52,17,20,0.75,15,0.25,15,4000
52,52,1.6,0.4,0.25,5,0.75,15,4000
52,52,5,2.5,0.25,5,0.75,15,4000
52,52,6,4,0.25,5,0.75,15,4000
52,52,8,8,0.25,5,0.75,15,4000
52,52,17,20,0.25,5,0.75,15,4000
52,52,1.6,0.4,0.75,5,0.75,15,4000
52,52,5,2.5,0.75,5,0.75,15,4000
52,52,6,4,0.75,5,0.75,15,4000
52,52,8,8,0.75,5,0.75,15,4000
52,52,17,20,0.75,5,0.75,15,4000
52,52,1.6,0.4,0.25,15,0.75,15,4000
52,52,5,2.5,0.25,15,0.75,15,4000
52,52,6,4,0.25,15,0.75,15,4000
52,52,8,8,0.25,15,0.75,15,4000
52,52,17,20,0.25,15,0.75,15,4000
52,52,1.6,0.4,0.75,15,0.75,15,4000
52,52,5,2.5,0.75,15,0.75,15,4000
52,52,6,4,0.75,15,0.75,15,4000
52,52,8,8,0.75,15,0.75,15,4000
52,52,17,20,0.75,15,0.75,15,4000
